# Header
# Document: Statistical Uncertainties (%)
# Phantom type: ICRP 145 Adult Female
# Source type: photons
# Number of source energies: 3
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,0.01 MeV,1 MeV,10 MeV
Brain,Red (active) marrow,99.9499874937,4.15205613116138,4.911642082154484
Brain,Colon wall,0.0,0.0,63.975524245358
Brain,RLung + LLung,0.0,61.55832308029563,97.81501801975176
Brain,Stomach wall,0.0,0.0,0.0
Brain,Breast-a + Breast-g,0.0,67.67047761093828,99.94998749
Brain,ROvary + LOvary,0.0,0.0,0.0
Brain,Urinary bladder wall,0.0,0.0,0.0
Brain,Oesophagus wall,0.0,0.0,65.05861435289998
Brain,Liver,0.0,99.94998749,56.80745914999999
Brain,Thyroid,0.0,0.0,0.0
Brain,50-um endosteal region,99.9499874937,3.3150606351417573,2.969057704107789
Brain,Brain,0.5367176573000001,5.681569226000001,10.6858899
Brain,Salivary glands,0.0,57.21784894492335,53.17040642226566
Brain,Skin,0.0,28.020017144623505,18.529005385730663
Brain,RAdrenal + LAdrenal,0.0,0.0,0.0
Brain,ET region,0.0,99.94998749,98.37416918876671
Brain,Gallbladder wall,0.0,0.0,0.0
Brain,Heart wall,0.0,0.0,90.32576421
Brain,RKidney + LKidney,0.0,0.0,93.59416461164751
Brain,Systemic lymph nodes,0.0,0.0,99.94998749
Brain,Muscle,0.0,18.751241378440056,16.05134608814849
Brain,Oral mucosa,0.0,0.0,85.40117617000698
Brain,Pancreas,0.0,0.0,99.94998749
Brain,Small intestine wall,0.0,0.0,67.29839347093032
Brain,Spleen,0.0,0.0,99.94998749
Brain,Thymus,0.0,99.94998749,0.0
Brain,Uterus/cervix,0.0,0.0,0.0
Brain,Tongue,0.0,73.71877200000002,70.28223267884012
Brain,Tonsils,0.0,0.0,72.95646611999999
Brain,Right colon wall (ascending + right transverse),0.0,0.0,63.97552424535798
Brain,Left colon wall (left transverse + descending),0.0,0.0,0.0
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0,0.0,0.0
Brain,Extrathoracic lymph nodes,0.0,99.94998749,53.3122675
Brain,Alveolar-interstitium,0.0,61.55832308029563,97.81501801975176
Brain,Thoracic lymph nodes,0.0,0.0,99.94998749
Brain,Entire lens of eye,0.0,0.0,0.0
Brain,Pituitary gland,0.0,0.0,99.94998749
Brain,Spinal cord,0.0,0.0,97.39487508
Brain,Ureters,0.0,0.0,99.94998749
Brain,Adipose/residual tissue,70.63993204999998,12.061528556329518,12.86230152169071
Liver,Red (active) marrow,,6.748535277763806,6.164033675673107
Liver,Colon wall,70.63993204999998,33.17864334727735,69.33506134829506
Liver,RLung + LLung,57.64835933,22.01193575820904,25.122373914805834
Liver,Stomach wall,57.64835933,31.790506311773264,33.803677504335724
Liver,Breast-a + Breast-g,0.0,38.8190736777498,31.3778810316474
Liver,ROvary + LOvary,0.0,0.0,99.94998749
Liver,Urinary bladder wall,0.0,99.94998749,0.0
Liver,Oesophagus wall,0.0,63.85098224000001,66.63247925897804
Liver,Liver,0.4958847036999999,5.636670864000001,10.831409119999998
Liver,Thyroid,0.0,0.0,99.94998749
Liver,50-um endosteal region,,7.219302463112652,5.944851416068093
Liver,Brain,0.0,94.52251548999998,99.94998749
Liver,Salivary glands,0.0,0.0,0.0
Liver,Skin,0.0,22.525894236084067,15.11601903951538
Liver,RAdrenal + LAdrenal,0.0,99.01995383087308,99.94998748999998
Liver,ET region,0.0,0.0,0.0
Liver,Gallbladder wall,0.0,54.3230309,48.598432800000005
Liver,Heart wall,0.0,38.57766049,33.90041765
Liver,RKidney + LKidney,99.94998748999998,28.887801023560616,36.19412706944355
Liver,Systemic lymph nodes,0.0,75.73003216000001,99.94998749
Liver,Muscle,99.94998749,11.57419670713757,12.009746297487428
Liver,Oral mucosa,0.0,0.0,0.0
Liver,Pancreas,0.0,30.01603907,36.94982252
Liver,Small intestine wall,0.0,29.12860159873712,44.79868322490682
Liver,Spleen,0.0,57.12959392,85.58921695000001
Liver,Thymus,0.0,0.0,99.75976875
Liver,Uterus/cervix,0.0,97.76120322,99.94998749
Liver,Tongue,0.0,90.02746309516276,0.0
Liver,Tonsils,0.0,0.0,0.0
Liver,Right colon wall (ascending + right transverse),70.63993205,34.50911615784698,78.43645746779426
Liver,Left colon wall (left transverse + descending),0.0,98.01998195000002,75.04314027640723
Liver,Rectosigmoid colon wall (sigmoid + rectum),0.0,99.94998749000004,0.0
Liver,Extrathoracic lymph nodes,0.0,0.0,0.0
Liver,Alveolar-interstitium,57.64835933,22.01193575820904,25.122373914805834
Liver,Thoracic lymph nodes,0.0,99.94998749,82.35084129
Liver,Entire lens of eye,0.0,0.0,0.0
Liver,Pituitary gland,0.0,0.0,0.0
Liver,Spinal cord,0.0,76.43348365,50.73070346
Liver,Ureters,0.0,99.94998748999998,68.91740855331423
Liver,Adipose/residual tissue,33.182994310000005,7.644899691872946,8.939652637646718
