# Header
# Document: Specific Absorbed Fractions (kg^-1)
# Phantom type: ICRP 145 Adult Male
# Source type: photons
# Number of source energies: 3
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,0.01 MeV,1 MeV,10 MeV
Brain,Red (active) marrow,0.0,0.0049835202639353,0.0031706703183237
Brain,Colon wall,0.0,0.0,4.4621464741821766e-05
Brain,RLung + LLung,0.0,0.0023106372881939,0.0004608417989646
Brain,Stomach wall,0.0,0.0,0.0006057611036221
Brain,Breast-a + Breast-g,0.0,0.0,0.0
Brain,Testes,0.0,0.0,0.0
Brain,Urinary bladder wall,0.0,0.0,0.0
Brain,Oesophagus wall,0.0,0.001082713585147,0.0
Brain,Liver,0.0,3.278816483476645e-05,2.220577218828808e-05
Brain,Thyroid,0.0,0.0,0.0036645666653757
Brain,50-um endosteal region,0.0,0.0081554995683438,0.0045961392597206
Brain,Brain,0.6458459641972687,0.1002462968761595,0.0394238928714796
Brain,Salivary glands,0.0,0.0120234523042198,0.0044054664737023
Brain,Skin,0.0,0.0026077252118185,0.0013385198059517
Brain,RAdrenal + LAdrenal,0.0,0.0,0.0
Brain,ET region,0.0,0.0432144536583416,0.0193003157208778
Brain,Gallbladder wall,0.0,0.0,0.0003843277128332
Brain,Heart wall,0.0,0.0029229131018523,0.0030599998745208
Brain,RKidney + LKidney,0.0,0.0,5.838500874789396e-06
Brain,Systemic lymph nodes,0.0,0.0,0.0
Brain,Muscle,0.0,0.0011231666785483,0.0006336746061564
Brain,Oral mucosa,0.0,0.0,0.0
Brain,Pancreas,0.0,0.0,0.0
Brain,Prostate,0.0,0.0,0.0
Brain,Small intestine wall,0.0,2.5390380320456835e-06,0.0003755836789418
Brain,Spleen,0.0,0.0,0.0065778308997612
Brain,Thymus,0.0,0.0,0.0108167068675407
Brain,Tongue,0.0,0.0186829300709787,0.0022058366513553
Brain,Tonsils,0.0,0.0530790220724223,0.0360331436839588
Brain,Right colon wall (ascending + right transverse),0.0,0.0,0.0001100634351174
Brain,Left colon wall (left transverse + descending),0.0,0.0,0.0
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0,0.0,0.0
Brain,Extrathoracic lymph nodes,0.0,0.0205670520345399,0.0032750660861281
Brain,Alveolar-interstitium,0.0,0.0023106372881939,0.0004608417989646
Brain,Thoracic lymph nodes,0.0,0.0,0.0
Brain,Entire lens of eye,0.0,0.0,0.0
Brain,Pituitary gland,0.0,0.1276984681702783,0.148556183225435
Brain,Spinal cord,0.0,0.0176657890018896,0.0034138822043265
Brain,Ureters,0.0,0.0,0.0
Brain,Adipose/residual tissue,0.000164722084469,0.0014034141320776,0.0012666801669699
Liver,Red (active) marrow,0.0,0.0064098722855173,0.0037699692456014
Liver,Colon wall,0.0,0.0086556324502777,0.0044258532795978
Liver,RLung + LLung,0.0033355396243557,0.0095461309522558,0.0112470271835529
Liver,Stomach wall,0.0051474572685363,0.0226820516653624,0.0129317491967341
Liver,Breast-a + Breast-g,0.0,0.027469166610168,0.0
Liver,Testes,0.0,0.0,0.0
Liver,Urinary bladder wall,0.0,0.0,0.0
Liver,Oesophagus wall,0.0,0.0332515168420001,0.0030306540840912
Liver,Liver,0.4144284974636831,0.0656022053808123,0.0278655964408494
Liver,Thyroid,0.0,0.0,0.0
Liver,50-um endosteal region,0.0,0.0024001039293273,0.0015352438961659
Liver,Brain,0.0,0.0009343618070765,3.429291917884968e-05
Liver,Salivary glands,0.0,0.0036762251826884,0.0002510168334819
Liver,Skin,0.0,0.0022714385089759,0.0012992720322208
Liver,RAdrenal + LAdrenal,0.0,0.1646693303715953,6.534494015293406e-05
Liver,ET region,0.0,0.0005662385072829,0.0
Liver,Gallbladder wall,0.0,0.0709141957190764,0.0107500344746639
Liver,Heart wall,0.0,0.0160781960324117,0.0097800588321405
Liver,RKidney + LKidney,0.0023688481567717,0.0127054053378666,0.0053606199756767
Liver,Systemic lymph nodes,0.0,0.0068113807365841,0.0036277383622184
Liver,Muscle,0.0,0.0022870145213944,0.0013420365277034
Liver,Oral mucosa,0.0,0.0,0.0
Liver,Pancreas,0.0,0.0072859792311767,0.0125924347552314
Liver,Prostate,0.0,0.0,0.0
Liver,Small intestine wall,0.0,0.0055694146370158,0.0019839198965536
Liver,Spleen,0.0,0.0113687711039238,0.0008011129739145
Liver,Thymus,0.0,0.0048319811241239,0.0010195527380285
Liver,Tongue,0.0,0.0,0.0
Liver,Tonsils,0.0,0.0,0.0
Liver,Right colon wall (ascending + right transverse),0.0,0.0134066856338545,0.0082785665626833
Liver,Left colon wall (left transverse + descending),0.0,0.0078984401099883,0.0026177653461314
Liver,Rectosigmoid colon wall (sigmoid + rectum),0.0,9.618917358216895e-05,4.3914392783962304e-05
Liver,Extrathoracic lymph nodes,0.0,0.0,0.0
Liver,Alveolar-interstitium,0.0033355396243557,0.0095461309522558,0.0112470271835529
Liver,Thoracic lymph nodes,0.0,0.0163125098228099,0.0229579367402023
Liver,Entire lens of eye,0.0,0.0,0.0
Liver,Pituitary gland,0.0,0.0,0.0
Liver,Spinal cord,0.0,0.0091706987907557,0.0110459748160333
Liver,Ureters,0.0,0.013204749710626,0.0109660009683372
Liver,Adipose/residual tissue,0.0006588880063074,0.0040137849248324,0.002229560866647
