# Header
# Document: Specific Absorbed Fractions (kg^-1)
# Phantom type: Adult ICRP 145 Female Resized to Filipino
# Source type: photons
# Number of source energies: 1
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,10 MeV
Brain,Red (active) marrow,0.0034818264708884
Brain,Colon wall,0.0002892772358224
Brain,RLung + LLung,0.0007383571572013
Brain,Stomach wall,0.0002552997193067
Brain,Breast-a + Breast-g,0.0016631146377593
Brain,ROvary + LOvary,0.0
Brain,Urinary bladder wall,0.0
Brain,Oesophagus wall,0.0017337579279308
Brain,Liver,0.0002917189561884
Brain,Thyroid,0.0015833444778599
Brain,50-um endosteal region,0.0055599951492262
Brain,Brain,0.0420976246555373
Brain,Salivary glands,0.0170336975292774
Brain,Skin,0.0013566513934176
Brain,RAdrenal + LAdrenal,1.7740280750521243e-05
Brain,ET region,0.0117169273262451
Brain,Gallbladder wall,0.0020692628750446
Brain,Heart wall,0.0013749555487526
Brain,RKidney + LKidney,0.0002205130377711
Brain,Systemic lymph nodes,0.000339500739297
Brain,Muscle,0.0006904037311032
Brain,Oral mucosa,0.0061697773816854
Brain,Pancreas,0.0003741970816933
Brain,Small intestine wall,0.0001268744800076
Brain,Spleen,0.0013449272797222
Brain,Thymus,0.0017931158282016
Brain,Uterus/cervix,0.0
Brain,Tongue,0.0070011439587673
Brain,Tonsils,0.0071173663926999
Brain,Right colon wall (ascending + right transverse),0.000373062378649
Brain,Left colon wall (left transverse + descending),0.0003451104189078
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0
Brain,Extrathoracic lymph nodes,0.0160624488360885
Brain,Alveolar-interstitium,0.0007383571572013
Brain,Thoracic lymph nodes,6.304864610827066e-05
Brain,Entire lens of eye,0.0
Brain,Pituitary gland,0.0355163602267361
Brain,Spinal cord,0.001234920786518
Brain,Ureters,0.0
Brain,Adipose/residual tissue,0.0008353937784365
Liver,Red (active) marrow,0.0048444882997652
Liver,Colon wall,0.0032734068773881
Liver,RLung + LLung,0.008628662946601
Liver,Stomach wall,0.0131287764829587
Liver,Breast-a + Breast-g,0.0051756897127869
Liver,ROvary + LOvary,0.0003391029748034
Liver,Urinary bladder wall,0.0023860432975575
Liver,Oesophagus wall,0.0084692293922114
Liver,Liver,0.0358384986283625
Liver,Thyroid,0.0021129126758942
Liver,50-um endosteal region,0.0019861716666351
Liver,Brain,0.0007869447994957
Liver,Salivary glands,0.0005301846069579
Liver,Skin,0.0016687193507613
Liver,RAdrenal + LAdrenal,0.0218143868078083
Liver,ET region,9.187084071288024e-05
Liver,Gallbladder wall,0.0218521679926098
Liver,Heart wall,0.0111919501816933
Liver,RKidney + LKidney,0.0109595213359781
Liver,Systemic lymph nodes,0.0023248244391526
Liver,Muscle,0.0015814767012762
Liver,Oral mucosa,0.0004269078679251
Liver,Pancreas,0.0108092633062336
Liver,Small intestine wall,0.0035437080320646
Liver,Spleen,0.0093377577056843
Liver,Thymus,0.0025332563887586
Liver,Uterus/cervix,0.0003432056532538
Liver,Tongue,0.000445142181413
Liver,Tonsils,0.0008086193154406
Liver,Right colon wall (ascending + right transverse),0.0049661694222508
Liver,Left colon wall (left transverse + descending),0.0029113988283101
Liver,Rectosigmoid colon wall (sigmoid + rectum),0.00051613522498
Liver,Extrathoracic lymph nodes,0.0003858924614051
Liver,Alveolar-interstitium,0.008628662946601
Liver,Thoracic lymph nodes,0.0092520102125025
Liver,Entire lens of eye,0.0
Liver,Pituitary gland,0.0
Liver,Spinal cord,0.0121700719734758
Liver,Ureters,0.0009097032540421
Liver,Adipose/residual tissue,0.0024503605780336
