# Header
# Document: Statistical Uncertainties (%)
# Phantom type: Adult Female Reference Computational Phantom
# Source type: electrons
# Number of source energies: 1
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,10 MeV
Brain,Red (active) marrow,5.905871968203356
Brain,Colon wall,0.0
Brain,RLung + LLung,80.6613231146981
Brain,Stomach wall,71.91374276674108
Brain,Breast-a + Breast-g,99.94998749
Brain,ROvary + LOvary,0.0
Brain,Urinary bladder wall,0.0
Brain,Oesophagus wall,99.94998749
Brain,Liver,75.98226557
Brain,Thyroid,99.94998749
Brain,50-um endosteal region,5.538516543736283
Brain,Brain,1.4562323530000003
Brain,Salivary glands,69.80026678240935
Brain,Skin,8.45503081469248
Brain,RAdrenal + LAdrenal,0.0
Brain,ET region,60.12763404577009
Brain,Gallbladder wall,0.0
Brain,Heart wall,0.0
Brain,RKidney + LKidney,0.0
Brain,Systemic lymph nodes,0.0
Brain,Muscle,13.977532097390544
Brain,Oral mucosa,99.94998749
Brain,Pancreas,0.0
Brain,Small intestine wall,0.0
Brain,Spleen,0.0
Brain,Thymus,0.0
Brain,Uterus/cervix,0.0
Brain,Tongue,95.97537609998984
Brain,Tonsils,0.0
Brain,Right colon wall (ascending + right transverse),0.0
Brain,Left colon wall (left transverse + descending),0.0
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0
Brain,Extrathoracic lymph nodes,51.16592617999999
Brain,Alveolar-interstitium,80.6613231146981
Brain,Thoracic lymph nodes,0.0
Brain,Entire lens of eye,85.50209412461172
Brain,Pituitary gland,51.08590126
Brain,Spinal cord,0.0
Brain,Ureters,0.0
Brain,Adipose/residual tissue,7.019572238482735
Liver,Red (active) marrow,11.991667910257856
Liver,Colon wall,67.09516926439876
Liver,RLung + LLung,12.93872330592155
Liver,Stomach wall,15.300842605762814
Liver,Breast-a + Breast-g,54.173127996968816
Liver,ROvary + LOvary,0.0
Liver,Urinary bladder wall,0.0
Liver,Oesophagus wall,41.343424997030496
Liver,Liver,1.535542265
Liver,Thyroid,0.0
Liver,50-um endosteal region,11.72150287740361
Liver,Brain,0.0
Liver,Salivary glands,0.0
Liver,Skin,10.135848125062289
Liver,RAdrenal + LAdrenal,36.08346575811446
Liver,ET region,0.0
Liver,Gallbladder wall,19.86819391
Liver,Heart wall,21.94287483
Liver,RKidney + LKidney,18.29117326742679
Liver,Systemic lymph nodes,86.50878378
Liver,Muscle,9.060546308758507
Liver,Oral mucosa,0.0
Liver,Pancreas,21.5524427
Liver,Small intestine wall,57.17057919276476
Liver,Spleen,62.914252650000016
Liver,Thymus,99.94998749
Liver,Uterus/cervix,0.0
Liver,Tongue,0.0
Liver,Tonsils,0.0
Liver,Right colon wall (ascending + right transverse),67.7427820263384
Liver,Left colon wall (left transverse + descending),99.94998749
Liver,Rectosigmoid colon wall (sigmoid + rectum),0.0
Liver,Extrathoracic lymph nodes,0.0
Liver,Alveolar-interstitium,12.93872330592155
Liver,Thoracic lymph nodes,57.08422838
Liver,Entire lens of eye,0.0
Liver,Pituitary gland,0.0
Liver,Spinal cord,99.94998749
Liver,Ureters,94.3601176774019
Liver,Adipose/residual tissue,5.424920619385644
