# Header
# Document: Statistical Uncertainties (%)
# Phantom type: Adult Female Reference Computational Phantom
# Source type: photons
# Number of source energies: 1
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,10 MeV
Brain,Red (active) marrow,3.9319370468093617
Brain,Colon wall,0.0
Brain,RLung + LLung,92.09468978429916
Brain,Stomach wall,0.0
Brain,Breast-a + Breast-g,61.6329488695352
Brain,ROvary + LOvary,0.0
Brain,Urinary bladder wall,0.0
Brain,Oesophagus wall,0.0
Brain,Liver,64.10004003
Brain,Thyroid,0.0
Brain,50-um endosteal region,2.729712090022644
Brain,Brain,12.11236766
Brain,Salivary glands,44.78444429461075
Brain,Skin,13.813651869913008
Brain,RAdrenal + LAdrenal,0.0
Brain,ET region,0.0
Brain,Gallbladder wall,0.0
Brain,Heart wall,99.94998749
Brain,RKidney + LKidney,0.0
Brain,Systemic lymph nodes,0.0
Brain,Muscle,18.983357700852107
Brain,Oral mucosa,99.94998749
Brain,Pancreas,0.0
Brain,Small intestine wall,0.0
Brain,Spleen,0.0
Brain,Thymus,71.91139491
Brain,Uterus/cervix,0.0
Brain,Tongue,76.22877332315876
Brain,Tonsils,0.0
Brain,Right colon wall (ascending + right transverse),0.0
Brain,Left colon wall (left transverse + descending),0.0
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0
Brain,Extrathoracic lymph nodes,64.49928353
Brain,Alveolar-interstitium,92.09468978429916
Brain,Thoracic lymph nodes,99.94998749
Brain,Entire lens of eye,0.0
Brain,Pituitary gland,99.94998749
Brain,Spinal cord,0.0
Brain,Ureters,0.0
Brain,Adipose/residual tissue,12.651005202132806
Liver,Red (active) marrow,6.114642777577681
Liver,Colon wall,45.69382891035494
Liver,RLung + LLung,25.76006390349192
Liver,Stomach wall,31.92751262112049
Liver,Breast-a + Breast-g,39.16592719210195
Liver,ROvary + LOvary,99.94998749
Liver,Urinary bladder wall,99.94998749
Liver,Oesophagus wall,96.80748410059584
Liver,Liver,10.57718287
Liver,Thyroid,0.0
Liver,50-um endosteal region,5.916249719402273
Liver,Brain,75.1563255
Liver,Salivary glands,99.94998749
Liver,Skin,13.20866913254167
Liver,RAdrenal + LAdrenal,99.94998749
Liver,ET region,0.0
Liver,Gallbladder wall,41.93802968
Liver,Heart wall,53.37368374
Liver,RKidney + LKidney,35.735839753092066
Liver,Systemic lymph nodes,70.75839872
Liver,Muscle,13.207315048776971
Liver,Oral mucosa,0.0
Liver,Pancreas,45.04389205
Liver,Small intestine wall,30.248603876128648
Liver,Spleen,54.21213739000002
Liver,Thymus,0.0
Liver,Uterus/cervix,96.97013561
Liver,Tongue,0.0
Liver,Tonsils,0.0
Liver,Right colon wall (ascending + right transverse),47.88549356317256
Liver,Left colon wall (left transverse + descending),65.39018708737704
Liver,Rectosigmoid colon wall (sigmoid + rectum),99.94998749
Liver,Extrathoracic lymph nodes,0.0
Liver,Alveolar-interstitium,25.76006390349192
Liver,Thoracic lymph nodes,99.94998749
Liver,Entire lens of eye,0.0
Liver,Pituitary gland,0.0
Liver,Spinal cord,76.29161114
Liver,Ureters,99.94998749
Liver,Adipose/residual tissue,9.050818285439382
