# Header
# Document: Statistical Uncertainties (%)
# Phantom type: Adult Male Reference Computational Phantom
# Source type: electrons
# Number of source energies: 1
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,10 MeV
Brain,Red (active) marrow,5.975849361754013
Brain,Colon wall,0.0
Brain,RLung + LLung,59.66374551
Brain,Stomach wall,0.0
Brain,Breast-a + Breast-g,0.0
Brain,Testes,0.0
Brain,Urinary bladder wall,0.0
Brain,Oesophagus wall,99.94998749
Brain,Liver,99.94998749
Brain,Thyroid,0.0
Brain,50-um endosteal region,5.778415461696166
Brain,Brain,1.3766067559999997
Brain,Salivary glands,64.70606830779224
Brain,Skin,9.672994640505172
Brain,RAdrenal + LAdrenal,0.0
Brain,ET region,44.34712131648211
Brain,Gallbladder wall,0.0
Brain,Heart wall,0.0
Brain,RKidney + LKidney,0.0
Brain,Systemic lymph nodes,0.0
Brain,Muscle,11.528849671645542
Brain,Oral mucosa,62.82325434658009
Brain,Pancreas,0.0
Brain,Prostate,0.0
Brain,Small intestine wall,0.0
Brain,Spleen,0.0
Brain,Thymus,0.0
Brain,Tongue,53.503947206399175
Brain,Tonsils,75.33859084000001
Brain,Right colon wall (ascending + right transverse),0.0
Brain,Left colon wall (left transverse + descending),0.0
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0
Brain,Extrathoracic lymph nodes,41.50126662
Brain,Alveolar-interstitium,59.66374551
Brain,Thoracic lymph nodes,0.0
Brain,Entire lens of eye,0.0
Brain,Pituitary gland,0.0
Brain,Spinal cord,90.30549763
Brain,Ureters,0.0
Brain,Adipose/residual tissue,7.090948698563719
Liver,Red (active) marrow,13.741571227162606
Liver,Colon wall,25.959490426111625
Liver,RLung + LLung,12.857660832063871
Liver,Stomach wall,17.617137219501128
Liver,Breast-a + Breast-g,99.94998749
Liver,Testes,0.0
Liver,Urinary bladder wall,0.0
Liver,Oesophagus wall,58.38153643
Liver,Liver,1.349443855
Liver,Thyroid,0.0
Liver,50-um endosteal region,13.391151373618095
Liver,Brain,0.0
Liver,Salivary glands,0.0
Liver,Skin,14.90762742476545
Liver,RAdrenal + LAdrenal,46.98287091000001
Liver,ET region,0.0
Liver,Gallbladder wall,20.346333550000004
Liver,Heart wall,19.57527466
Liver,RKidney + LKidney,24.187238830124773
Liver,Systemic lymph nodes,60.11045332999999
Liver,Muscle,8.602103387768254
Liver,Oral mucosa,0.0
Liver,Pancreas,21.91569086
Liver,Prostate,0.0
Liver,Small intestine wall,53.96326559082083
Liver,Spleen,88.88507340999999
Liver,Thymus,0.0
Liver,Tongue,0.0
Liver,Tonsils,0.0
Liver,Right colon wall (ascending + right transverse),27.27388661618313
Liver,Left colon wall (left transverse + descending),84.83250826267917
Liver,Rectosigmoid colon wall (sigmoid + rectum),99.94998748999998
Liver,Extrathoracic lymph nodes,0.0
Liver,Alveolar-interstitium,12.857660832063871
Liver,Thoracic lymph nodes,93.08666641
Liver,Entire lens of eye,0.0
Liver,Pituitary gland,0.0
Liver,Spinal cord,90.20216887
Liver,Ureters,99.94998749000004
Liver,Adipose/residual tissue,5.671146738818674
