# Header
# Document: Specific Absorbed Fractions (kg^-1)
# Phantom type: Adult Male Reference Computational Phantom
# Source type: photons
# Number of source energies: 1
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,10 MeV
Brain,Red (active) marrow,0.0027647748734793
Brain,Colon wall,0.0
Brain,RLung + LLung,0.000882043483
Brain,Stomach wall,1.0525073014839802e-06
Brain,Breast-a + Breast-g,0.0
Brain,Testes,0.0
Brain,Urinary bladder wall,0.0024127636535669
Brain,Oesophagus wall,0.0
Brain,Liver,0.000464454445851
Brain,Thyroid,0.0
Brain,50-um endosteal region,0.0045616553087614
Brain,Brain,0.0365730474446575
Brain,Salivary glands,0.0058053032844302
Brain,Skin,0.0010366697667683
Brain,RAdrenal + LAdrenal,0.0
Brain,ET region,0.004342341513664
Brain,Gallbladder wall,0.0
Brain,Heart wall,8.056113817972959e-06
Brain,RKidney + LKidney,0.0
Brain,Systemic lymph nodes,0.0
Brain,Muscle,0.0006489399180677
Brain,Oral mucosa,0.0084769072606075
Brain,Pancreas,3.3917159991489045e-05
Brain,Prostate,0.0
Brain,Small intestine wall,0.0
Brain,Spleen,2.4389834454421608e-06
Brain,Thymus,0.0
Brain,Tongue,0.0048458287929287
Brain,Tonsils,0.0883479699405033
Brain,Right colon wall (ascending + right transverse),0.0
Brain,Left colon wall (left transverse + descending),0.0
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0
Brain,Extrathoracic lymph nodes,0.0055335162365128
Brain,Alveolar-interstitium,0.000882043483
Brain,Thoracic lymph nodes,0.0
Brain,Entire lens of eye,0.0
Brain,Pituitary gland,0.0600470194723897
Brain,Spinal cord,2.0067470625715046e-06
Brain,Ureters,0.000540027433902
Brain,Adipose/residual tissue,0.0009546014107262
Liver,Red (active) marrow,0.0034311539616129
Liver,Colon wall,0.0040631400851967
Liver,RLung + LLung,0.0059737833624244
Liver,Stomach wall,0.0097559057610401
Liver,Breast-a + Breast-g,0.0
Liver,Testes,0.0
Liver,Urinary bladder wall,0.0063316348604579
Liver,Oesophagus wall,0.001514782857168
Liver,Liver,0.0261221126633922
Liver,Thyroid,0.0053635195712138
Liver,50-um endosteal region,0.001387405223699
Liver,Brain,2.469568038900913e-05
Liver,Salivary glands,0.0
Liver,Skin,0.0013888177045713
Liver,RAdrenal + LAdrenal,0.0234842772483238
Liver,ET region,0.0
Liver,Gallbladder wall,0.0389195992231677
Liver,Heart wall,0.0043389461139778
Liver,RKidney + LKidney,0.0071164632594938
Liver,Systemic lymph nodes,0.002869266132663
Liver,Muscle,0.0013955245326741
Liver,Oral mucosa,0.0
Liver,Pancreas,0.0273910824241884
Liver,Prostate,0.0
Liver,Small intestine wall,0.0034702537368916
Liver,Spleen,0.0040483150280422
Liver,Thymus,1.7039922983923442e-05
Liver,Tongue,0.0
Liver,Tonsils,0.0
Liver,Right colon wall (ascending + right transverse),0.0048288157303072
Liver,Left colon wall (left transverse + descending),0.0051933372171528
Liver,Rectosigmoid colon wall (sigmoid + rectum),0.0
Liver,Extrathoracic lymph nodes,0.0072299891124243
Liver,Alveolar-interstitium,0.0059737833624244
Liver,Thoracic lymph nodes,0.0340031687355162
Liver,Entire lens of eye,0.0
Liver,Pituitary gland,0.0
Liver,Spinal cord,9.188625759225068e-05
Liver,Ureters,9.01070649484804e-05
Liver,Adipose/residual tissue,0.0027996716145984
